 xflr5 v6.50

Plane name :        CRC3
Polar name :        T1-10.0 m/s-VLM1
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.000     0.000  -0.710933   0.030387   0.274313   0.304701   0.000000   0.000000  -0.294631  -0.000000   0.000000   10.0000     0.0113
  -15.000     0.000  -0.641963   0.024791   0.256970   0.281761   0.000000   0.000000  -0.275525  -0.000000  -0.000000   10.0000     0.0098
  -14.000     0.000  -0.572450   0.019721   0.233773   0.253494   0.000000   0.000000  -0.255848  -0.000000  -0.000000   10.0000     0.0079
  -13.000     0.000  -0.502444   0.015197   0.196468   0.211665   0.000000   0.000000  -0.235137  -0.000000   0.000000   10.0000     0.0055
  -12.000     0.000  -0.431996   0.011237   0.165645   0.176881   0.000000   0.000000  -0.214901  -0.000000  -0.000000   10.0000     0.0024
  -11.000     0.000  -0.361157   0.007854   0.104967   0.112822   0.000000   0.000000  -0.192933  -0.000000  -0.000000   10.0000    -0.0020
  -10.000     0.000  -0.289980   0.005064   0.053350   0.058415   0.000000   0.000000  -0.171772   0.000000  -0.000000   10.0000    -0.0085
   -9.000     0.000  -0.218517   0.002879   0.038517   0.041396   0.000000   0.000000  -0.152728   0.000000  -0.000000   10.0000    -0.0193
   -8.000     0.000  -0.146823   0.001308   0.034949   0.036257   0.000000   0.000000  -0.134169   0.000000  -0.000000   10.0000    -0.0407
   -7.000     0.000  -0.074951   0.000360   0.032367   0.032727   0.000000   0.000000  -0.115541   0.000000  -0.000000   10.0000    -0.1031
   -6.000     0.000  -0.002957   0.000041   0.030251   0.030291  -0.000000   0.000000  -0.096834   0.000000  -0.000000   10.0000    -3.2052
   -5.000     0.000   0.069105   0.000355   0.028707   0.029063  -0.000000   0.000000  -0.078068   0.000000   0.000000   10.0000     0.1624
   -4.000     0.000   0.141179   0.001306   0.028025   0.029331  -0.000000   0.000000  -0.059267   0.000000   0.000000   10.0000     0.0918
   -3.000     0.000   0.213210   0.002894   0.028335   0.031229   0.000000   0.000000  -0.040446   0.000000  -0.000000   10.0000     0.0690
   -2.000     0.000   0.285143   0.005117   0.028633   0.033750   0.000000   0.000000  -0.021594   0.000000  -0.000000   10.0000     0.0576
   -1.000     0.000   0.356923   0.007972   0.029020   0.036992   0.000000   0.000000  -0.002735   0.000000  -0.000000   10.0000     0.0509
    0.000     0.000   0.428495   0.011454   0.029922   0.041376   0.000000   0.000000   0.016103  -0.000000   0.000000   10.0000     0.0464
    1.000     0.000   0.499803   0.015556   0.031393   0.046949   0.000000   0.000000   0.034904   0.000000   0.000000   10.0000     0.0432
    2.000     0.000   0.570795   0.020268   0.033376   0.053645   0.000000   0.000000   0.053654  -0.000000  -0.000000   10.0000     0.0408
    3.000     0.000   0.641415   0.025581   0.040554   0.066135   0.000000   0.000000   0.072346  -0.000000  -0.000000   10.0000     0.0390
    4.000     0.000   0.711613   0.031480   0.057092   0.088572   0.000000   0.000000   0.091053  -0.000000  -0.000000   10.0000     0.0375
    5.000     0.000   0.781334   0.037952   0.067448   0.105400   0.000000   0.000000   0.109708  -0.000000   0.000000   10.0000     0.0363
    6.000     0.000   0.850528   0.044980   0.076506   0.121486   0.000000   0.000000   0.128279  -0.000000  -0.000000   10.0000     0.0354
    7.000     0.000   0.919145   0.052546   0.086223   0.138769   0.000000   0.000000   0.146768  -0.000000   0.000000   10.0000     0.0345
    8.000     0.000   0.987134   0.060631   0.095426   0.156057   0.000000   0.000000   0.165131  -0.000000  -0.000000   10.0000     0.0338
    9.000     0.000   1.054449   0.069213   0.105137   0.174349   0.000000   0.000000   0.183370  -0.000000  -0.000000   10.0000     0.0332
   10.000     0.000   1.121041   0.078268   0.114140   0.192409   0.000000   0.000000   0.201430  -0.000000  -0.000000   10.0000     0.0327


