xflr5 v6.50

Plane name :        CRC3
Polar name :        T1-30.0 m/s-VLM1
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.000     0.000  -0.710933   0.030387   0.273744   0.304131   0.000000   0.000000  -0.294585   0.000000   0.000000   30.0000     0.0113
  -15.000     0.000  -0.641963   0.024791   0.253992   0.278783   0.000000   0.000000  -0.275299  -0.000000   0.000000   30.0000     0.0098
  -14.000     0.000  -0.572450   0.019721   0.233353   0.253074   0.000000   0.000000  -0.255818  -0.000000  -0.000000   30.0000     0.0079
  -13.000     0.000  -0.502444   0.015197   0.215806   0.231003   0.000000   0.000000  -0.236445  -0.000000   0.000000   30.0000     0.0055
  -12.000     0.000  -0.431996   0.011237   0.195247   0.206483   0.000000   0.000000  -0.216777  -0.000000  -0.000000   30.0000     0.0024
  -11.000     0.000  -0.361157   0.007854   0.165685   0.173539   0.000000   0.000000  -0.196521  -0.000000   0.000000   30.0000    -0.0020
  -10.000     0.000  -0.289980   0.005064   0.104386   0.109450   0.000000   0.000000  -0.174569  -0.000000  -0.000000   30.0000    -0.0085
   -9.000     0.000  -0.218517   0.002879   0.046280   0.049159   0.000000   0.000000  -0.153120  -0.000000  -0.000000   30.0000    -0.0193
   -8.000     0.000  -0.146823   0.001308   0.021495   0.022803   0.000000   0.000000  -0.133548   0.000000  -0.000000   30.0000    -0.0407
   -7.000     0.000  -0.074951   0.000360   0.018691   0.019051   0.000000   0.000000  -0.114969  -0.000000  -0.000000   30.0000    -0.1031
   -6.000     0.000  -0.002957   0.000041   0.016676   0.016717  -0.000000   0.000000  -0.096325   0.000000  -0.000000   30.0000    -3.2052
   -5.000     0.000   0.069105   0.000355   0.015011   0.015366  -0.000000   0.000000  -0.077615   0.000000   0.000000   30.0000     0.1624
   -4.000     0.000   0.141179   0.001306   0.013059   0.014366  -0.000000   0.000000  -0.058838   0.000000   0.000000   30.0000     0.0918
   -3.000     0.000   0.213210   0.002894   0.012180   0.015074   0.000000   0.000000  -0.040053  -0.000000   0.000000   30.0000     0.0690
   -2.000     0.000   0.285143   0.005117   0.011840   0.016957   0.000000   0.000000  -0.021259  -0.000000  -0.000000   30.0000     0.0576
   -1.000     0.000   0.356923   0.007972   0.011650   0.019622   0.000000   0.000000  -0.002466   0.000000  -0.000000   30.0000     0.0509
    0.000     0.000   0.428495   0.011454   0.011494   0.022948   0.000000   0.000000   0.016308  -0.000000   0.000000   30.0000     0.0464
    1.000     0.000   0.499803   0.015556   0.011413   0.026969   0.000000   0.000000   0.035038  -0.000000   0.000000   30.0000     0.0432
    2.000     0.000   0.570795   0.020268   0.011569   0.031837   0.000000   0.000000   0.053704  -0.000000   0.000000   30.0000     0.0408
    3.000     0.000   0.641415   0.025581   0.011876   0.037457   0.000000   0.000000   0.072285  -0.000000  -0.000000   30.0000     0.0390
    4.000     0.000   0.711613   0.031480   0.012276   0.043756   0.000000  -0.000000   0.090761  -0.000000  -0.000000   30.0000     0.0375
    5.000     0.000   0.781334   0.037952   0.012753   0.050705   0.000000   0.000000   0.109109  -0.000000  -0.000000   30.0000     0.0363
    6.000     0.000   0.850528   0.044980   0.013306   0.058286   0.000000  -0.000000   0.127310  -0.000000  -0.000000   30.0000     0.0354
    7.000     0.000   0.919145   0.052546   0.013938   0.066484   0.000000   0.000000   0.145340   0.000000   0.000000   30.0000     0.0345
    8.000     0.000   0.987134   0.060631   0.014657   0.075288   0.000000   0.000000   0.163181  -0.000000  -0.000000   30.0000     0.0338
    9.000     0.000   1.054449   0.069213   0.015481   0.084694   0.000000   0.000000   0.180812  -0.000000  -0.000000   30.0000     0.0332
   10.000     0.000   1.121041   0.078268   0.016416   0.094685   0.000000   0.000000   0.198213   0.000000   0.000000   30.0000     0.0327
   
